Timestamp (ms),State,Reading,Click
0,0,980,0
10,10,961,0
20,20,947,0
30,30,979,0
40,40,960,0
50,50,979,0
60,60,979,0
70,70,950,0
80,80,979,0
90,90,970,0
100,100,945,0
110,110,979,0
120,120,960,0
130,130,962,0
140,140,980,0
150,150,958,0
160,160,979,0
170,170,979,0
180,180,949,0
190,190,979,0
200,200,967,0
210,210,937,0
220,220,979,0
230,230,956,0
240,240,971,0
250,250,979,0
260,260,951,0
270,270,979,0
280,280,979,0
290,290,945,0
300,300,979,0
310,310,960,0
320,320,940,0
330,330,979,0
340,340,956,0
350,350,979,0
360,360,979,0
370,370,952,0
380,380,979,0
390,390,978,0
400,400,948,0
410,410,979,0
420,420,962,0
430,430,949,0
440,440,979,0
450,450,958,0
460,460,979,0
470,470,979,0
480,480,952,0
490,490,979,0
500,500,974,0
510,510,950,0
520,520,979,0
530,530,959,0
540,540,959,0
550,550,979,0
560,560,957,0
570,570,979,0
580,580,979,0
590,590,949,0
600,600,979,0
610,610,978,0
620,620,944,0
630,630,979,0
640,640,957,0
650,650,968,0
660,660,979,0
670,670,954,0
680,680,979,0
690,690,979,0
700,700,953,0
710,710,979,0
720,720,967,0
730,730,955,0
740,740,979,0
750,750,958,0
760,760,979,0
770,770,979,0
780,780,958,0
790,790,979,0
800,800,980,0
810,810,949,0
820,820,979,0
830,830,965,0
840,840,954,0
850,850,979,0
860,860,957,0
870,870,979,0
880,880,979,0
890,890,950,0
900,900,979,0
910,910,979,0
920,920,947,0
930,930,979,0
940,940,962,0
950,950,965,0
960,960,979,0
970,970,960,0
980,980,980,0
990,990,979,0
1000,1000,951,0
1010,1010,979,0
1020,1020,979,0
1030,1030,946,0
1040,1040,979,0
1050,1050,959,0
1060,1060,967,0
1070,1070,979,0
1080,1080,958,0
1090,1090,979,0
1100,1100,979,0
1110,1110,952,0
1120,1120,979,0
1130,1130,979,0
1140,1140,944,0
1150,1150,979,0
1160,1160,960,0
1170,1170,963,0
1180,1180,979,0
1190,1190,956,0
1200,1200,979,0
1210,1210,979,0
1220,1220,952,0
1230,1230,979,0
1240,1240,979,0
1250,1250,949,0
1260,1260,979,0
1270,1270,969,0
1280,1280,959,0
1290,1290,979,0
1300,1300,968,0
1310,1310,979,0
1320,1320,980,0
1330,1330,963,0
1340,1340,979,0
1350,1350,976,0
1360,1360,959,0
1370,1370,979,0
1380,1380,967,0
1390,1390,959,0
1400,1400,979,0
1410,1410,967,0
1420,1420,979,0
1430,1430,979,0
1440,1440,953,0
1450,1450,979,0
1460,1460,976,0
1470,1470,951,0
1480,1480,979,0
1490,1490,961,0
1500,1500,961,0
1510,1510,979,0
1520,1520,956,0
1530,1530,980,0
1540,1540,979,0
1550,1550,951,0
1560,1560,979,0
1570,1570,980,0
1580,1580,944,0
1590,1590,979,0
1600,1600,959,0
1610,1610,967,0
1620,1620,979,0
1630,1630,958,0
1640,1640,979,0
1650,1650,979,0
1660,1660,956,0
1670,1670,979,0
1680,1680,977,0
1690,1690,949,0
1700,1700,979,0
